ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,payload_entropy,orig_payload_len,has_uri_payload,label
1780957249.262044,Cb827818345b7,192.168.60.1,38464,192.168.60.6,443,tcp,1.7e-05,0,0,1,1,0.0,0,0,-1
1780957249.262085,Cfb934bfce09d,192.168.60.1,44852,192.168.60.7,443,tcp,1.3e-05,0,0,1,1,0.0,0,0,-1
1780957249.262121,Cad91815489ab,192.168.60.1,43646,192.168.60.5,443,tcp,1.2e-05,0,0,1,1,0.0,0,0,-1
1780957249.272819,C29c4d6c961db,192.168.60.1,37892,192.168.60.6,22,tcp,0.000516,0,0,3,1,0.0,0,0,-1
1780957249.272979,C0b05011aceaf,192.168.60.1,57164,192.168.60.7,22,tcp,3e-05,0,0,1,1,0.0,0,0,-1
1780957249.273035,C675c2ee563d2,192.168.60.1,53020,192.168.60.5,22,tcp,1.8e-05,0,0,1,1,0.0,0,0,-1
1780957249.273076,C91b5fe615aa0,192.168.60.1,39708,192.168.60.6,554,tcp,1.3e-05,0,0,1,1,0.0,0,0,-1
1780957249.273112,C1b2443fec0fc,192.168.60.1,54738,192.168.60.7,554,tcp,1.2e-05,0,0,1,1,0.0,0,0,-1
1780957249.273146,Cb0729d42f108,192.168.60.1,54056,192.168.60.5,554,tcp,1.2e-05,0,0,1,1,0.0,0,0,-1
1780957249.27318,C64c47a1e4d9d,192.168.60.1,52280,192.168.60.6,8080,tcp,1.2e-05,0,0,1,1,0.0,0,0,-1
1780957249.273215,Cd135f6bdc99e,192.168.60.1,42194,192.168.60.7,8080,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
1780957249.273248,Cbed024926894,192.168.60.1,36220,192.168.60.5,8080,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
1780957249.27328,Cf1657d2cfac5,192.168.60.1,49950,192.168.60.6,110,tcp,1.2e-05,0,0,1,1,0.0,0,0,-1
1780957249.273397,C18f09c789817,192.168.60.1,45100,192.168.60.6,1025,tcp,1.3e-05,0,0,1,1,0.0,0,0,-1
1780957249.273434,Cecf0eab9c2fc,192.168.60.1,34670,192.168.60.7,110,tcp,1.2e-05,0,0,1,1,0.0,0,0,-1
